x,y,i,j
802,1154,18,26
824,1198,18,27
802,1242,18,28
824,1286,18,29
846,10,19,0
868,54,19,1
846,98,19,2
868,142,19,3
846,186,19,4
868,230,19,5
846,274,19,6
868,318,19,7
846,362,19,8
868,406,19,9
846,450,19,10
868,494,19,11
846,538,19,12
868,582,19,13
846,626,19,14
868,670,19,15
846,714,19,16
868,758,19,17
846,802,19,18
868,846,19,19
846,890,19,20
868,934,19,21
846,978,19,22
868,1022,19,23
846,1066,19,24
868,1110,19,25
846,1154,19,26
868,1198,19,27
846,1242,19,28
868,1286,19,29
890,10,20,0
912,54,20,1
890,98,20,2
912,142,20,3
890,186,20,4
912,230,20,5
890,274,20,6
912,318,20,7
890,362,20,8
912,406,20,9
890,450,20,10
912,494,20,11
890,538,20,12
912,582,20,13
890,626,20,14
912,670,20,15
890,714,20,16
912,758,20,17
890,802,20,18
912,846,20,19
890,890,20,20
912,934,20,21
890,978,20,22
912,1022,20,23
890,1066,20,24
912,1110,20,25
890,1154,20,26
912,1198,20,27
890,1242,20,28
912,1286,20,29
934,10,21,0
956,54,21,1
934,98,21,2
956,142,21,3
934,186,21,4
956,230,21,5
934,274,21,6
956,318,21,7
934,362,21,8
956,406,21,9
934,450,21,10
956,494,21,11
934,538,21,12
956,582,21,13
934,626,21,14
956,670,21,15
934,714,21,16
956,758,21,17
934,802,21,18
956,846,21,19
934,890,21,20
956,934,21,21
934,978,21,22
956,1022,21,23
934,1066,21,24
956,1110,21,25
934,1154,21,26
956,1198,21,27
934,1242,21,28
956,1286,21,29
978,10,22,0
1000,54,22,1
978,98,22,2
1000,142,22,3
978,186,22,4
1000,230,22,5
978,274,22,6
1000,318,22,7
978,362,22,8
1000,406,22,9
978,450,22,10
1000,494,22,11
978,538,22,12
1000,582,22,13
978,626,22,14
1000,670,22,15
978,714,22,16
1000,758,22,17
978,802,22,18
1000,846,22,19
978,890,22,20
1000,934,22,21
978,978,22,22
1000,1022,22,23
978,1066,22,24
1000,1110,22,25
978,1154,22,26
1000,1198,22,27
978,1242,22,28
1000,1286,22,29
1022,10,23,0
1044,54,23,1
1022,98,23,2
1044,142,23,3
1022,186,23,4
1044,230,23,5
1022,274,23,6
1044,318,23,7
1022,362,23,8
1044,406,23,9
1022,450,23,10
1044,494,23,11
1022,538,23,12
1044,582,23,13
1022,626,23,14
1044,670,23,15
1022,714,23,16
1044,758,23,17
1022,802,23,18
1044,846,23,19
1022,890,23,20
1044,934,23,21
1022,978,23,22
1044,1022,23,23
1022,1066,23,24
1044,1110,23,25
1022,1154,23,26
1044,1198,23,27
1022,1242,23,28
1044,1286,23,29
1066,10,24,0
1088,54,24,1
1066,98,24,2
1088,142,24,3
1066,186,24,4
1088,230,24,5
1066,274,24,6
1088,318,24,7
1066,362,24,8
1088,406,24,9
1066,450,24,10
1088,494,24,11
1066,538,24,12
1088,582,24,13
1066,626,24,14
1088,670,24,15
1066,714,24,16
1088,758,24,17
1066,802,24,18
1088,846,24,19
1066,890,24,20
1088,934,24,21
1066,978,24,22
1088,1022,24,23
1066,1066,24,24
1088,1110,24,25
1066,1154,24,26
1088,1198,24,27
1066,1242,24,28
1088,1286,24,29
1110,10,25,0
1132,54,25,1
1110,98,25,2
1132,142,25,3
1110,186,25,4
1132,230,25,5
1110,274,25,6
1132,318,25,7
1110,362,25,8
1132,406,25,9
1110,450,25,10
1132,494,25,11
1110,538,25,12
1132,582,25,13
1110,626,25,14
1132,670,25,15
1110,714,25,16
1132,758,25,17
1110,802,25,18
1132,846,25,19
1110,890,25,20
1132,934,25,21
1110,978,25,22
1132,1022,25,23
1110,1066,25,24
1132,1110,25,25
1110,1154,25,26
1132,1198,25,27
1110,1242,25,28
1132,1286,25,29
1154,10,26,0
1176,54,26,1
1154,98,26,2
1176,142,26,3
1154,186,26,4
1176,230,26,5
1154,274,26,6
1176,318,26,7
1154,362,26,8
1176,406,26,9
1154,450,26,10
1176,494,26,11
1154,538,26,12
1176,582,26,13
1154,626,26,14
1176,670,26,15
1154,714,26,16
1176,758,26,17
1154,802,26,18
1176,846,26,19
1154,890,26,20
1176,934,26,21
1154,978,26,22
1176,1022,26,23
1154,1066,26,24
1176,1110,26,25
1154,1154,26,26
1176,1198,26,27
1154,1242,26,28
1176,1286,26,29
1198,10,27,0
1220,54,27,1
1198,98,27,2
1220,142,27,3
1198,186,27,4
1220,230,27,5
1198,274,27,6
1220,318,27,7
1198,362,27,8
1220,406,27,9
1198,450,27,10
1220,494,27,11
1198,538,27,12
1220,582,27,13
1198,626,27,14
1220,670,27,15
1198,714,27,16
1220,758,27,17
1198,802,27,18
1220,846,27,19
1198,890,27,20
1220,934,27,21
1198,978,27,22
1220,1022,27,23
1198,1066,27,24
1220,1110,27,25
1198,1154,27,26
1220,1198,27,27
1198,1242,27,28
1220,1286,27,29
1242,10,28,0
1264,54,28,1
1242,98,28,2
1264,142,28,3
1242,186,28,4
1264,230,28,5
1242,274,28,6
1264,318,28,7
1242,362,28,8
1264,406,28,9
1242,450,28,10
1264,494,28,11
1242,538,28,12
1264,582,28,13
1242,626,28,14
1264,670,28,15
1242,714,28,16
1264,758,28,17
1242,802,28,18
1264,846,28,19
1242,890,28,20
1264,934,28,21
1242,978,28,22
1264,1022,28,23
1242,1066,28,24
1264,1110,28,25
1242,1154,28,26
1264,1198,28,27
1242,1242,28,28
1264,1286,28,29
1286,10,29,0
1308,54,29,1
1286,98,29,2
1308,142,29,3
1286,186,29,4
1308,230,29,5
1286,274,29,6
1308,318,29,7
1286,362,29,8
1308,406,29,9
1286,450,29,10
1308,494,29,11
1286,538,29,12
1308,582,29,13
1286,626,29,14
1308,670,29,15
1286,714,29,16
1308,758,29,17
1286,802,29,18
1308,846,29,19
1286,890,29,20
1308,934,29,21
1286,978,29,22
1308,1022,29,23
1286,1066,29,24
1308,1110,29,25
1286,1154,29,26
1308,1198,29,27
1286,1242,29,28
1308,1286,29,29
